model,scenario,seed,survival_time,survived_12,mean_gain,efficiency,equality,over_usage
GPT-4o-baseline,fishing,0,12,1,95.0,0.7917,1.0,0.0
GPT-4o-baseline,fishing,1,12,1,65.0,0.5417,1.0,0.0
GPT-4o-baseline,fishing,2,12,1,66.0,0.55,0.9879,0.0
GPT-4o-baseline,fishing,3,12,1,65.0,0.5417,1.0,0.0
GPT-4o-baseline,fishing,42,12,1,97.6,0.8133,0.9967,0.0
GPT-4o-baseline,sheep,0,5,0,50.6,0.4217,0.9779,0.0
GPT-4o-baseline,sheep,1,12,1,120.0,1.0,1.0,0.0
GPT-4o-baseline,sheep,2,3,0,30.4,0.2533,0.9237,0.0
GPT-4o-baseline,sheep,3,3,0,31.4,0.2617,0.9898,0.0
GPT-4o-baseline,sheep,42,4,0,36.0,0.3,0.9311,0.0
GPT-4o-baseline,pollution,0,12,1,95.8,0.7983,0.9925,0.0
GPT-4o-baseline,pollution,1,7,0,70.4,0.5867,0.9568,0.0
GPT-4o-baseline,pollution,2,6,0,49.0,0.4083,0.8106,0.0
GPT-4o-baseline,pollution,3,12,1,95.2,0.7933,0.9824,0.0
GPT-4o-baseline,pollution,42,12,1,40.0,0.3333,1.0,0.0
GPT-4o-universalization,fishing,0,12,1,119.6,0.9967,0.9973,0.0
GPT-4o-universalization,fishing,1,12,1,120.0,1.0,1.0,0.0
GPT-4o-universalization,fishing,2,12,1,120.0,1.0,1.0,0.0
GPT-4o-universalization,fishing,3,12,1,120.0,1.0,1.0,0.0
GPT-4o-universalization,fishing,42,12,1,120.0,1.0,1.0,0.0
GPT-4o-universalization,sheep,0,12,1,120.0,1.0,1.0,0.0
GPT-4o-universalization,sheep,1,12,1,120.0,1.0,1.0,0.0
GPT-4o-universalization,sheep,2,12,1,120.0,1.0,1.0,0.0
GPT-4o-universalization,sheep,3,12,1,98.0,0.8167,1.0,0.0
GPT-4o-universalization,sheep,42,12,1,120.0,1.0,1.0,0.0
GPT-4o-universalization,pollution,0,12,1,120.0,1.0,1.0,0.0
GPT-4o-universalization,pollution,1,12,1,98.8,0.8233,0.9951,0.0
GPT-4o-universalization,pollution,2,12,1,98.4,0.82,0.9967,0.0
GPT-4o-universalization,pollution,3,12,1,90.2,0.7517,0.9982,0.0
GPT-4o-universalization,pollution,42,12,1,93.0,0.775,1.0,0.0
Llama-3-70B-baseline,fishing,0,1,0,19.2,0.16,0.8292,0.0
Llama-3-70B-baseline,fishing,1,2,0,23.0,0.1917,0.8783,0.0
Llama-3-70B-baseline,fishing,2,2,0,21.6,0.18,0.8852,0.0
Llama-3-70B-baseline,fishing,3,5,0,38.8,0.3233,0.8742,0.0
Llama-3-70B-baseline,fishing,42,2,0,23.2,0.1933,0.8897,0.0
Llama-3-70B-baseline,sheep,0,1,0,19.2,0.16,0.975,0.0
Llama-3-70B-baseline,sheep,1,2,0,22.4,0.1867,0.875,0.0
Llama-3-70B-baseline,sheep,2,1,0,20.0,0.1667,0.928,0.0
Llama-3-70B-baseline,sheep,3,2,0,21.4,0.1783,0.9178,0.0
Llama-3-70B-baseline,sheep,42,1,0,20.0,0.1667,0.968,0.0
Llama-3-70B-baseline,pollution,0,1,0,20.0,0.1667,0.892,0.0
Llama-3-70B-baseline,pollution,1,1,0,20.0,0.1667,0.916,0.0
Llama-3-70B-baseline,pollution,2,1,0,20.0,0.1667,0.956,0.0
Llama-3-70B-baseline,pollution,3,1,0,20.0,0.1667,0.924,0.0
Llama-3-70B-baseline,pollution,42,1,0,20.0,0.1667,0.912,0.0
Llama-3-70B-universalization,fishing,0,12,1,76.0,0.6333,0.9442,0.0
Llama-3-70B-universalization,fishing,1,12,1,95.8,0.7983,0.9741,0.0
Llama-3-70B-universalization,fishing,2,12,1,92.8,0.7733,0.9612,0.0
Llama-3-70B-universalization,fishing,42,12,1,115.6,0.9633,0.9855,0.0
Llama-3-70B-universalization,sheep,0,3,0,27.0,0.225,0.8193,0.0667
Llama-3-70B-universalization,sheep,1,12,1,99.8,0.8317,0.9519,0.0
Llama-3-70B-universalization,sheep,2,12,1,76.0,0.6333,0.9621,0.0
Llama-3-70B-universalization,sheep,3,12,1,110.6,0.9217,0.974,0.0
Llama-3-70B-universalization,sheep,42,10,0,67.8,0.565,0.9292,0.0
Llama-3-70B-universalization,pollution,0,12,1,82.6,0.6883,0.9322,0.0
Llama-3-70B-universalization,pollution,1,12,1,79.4,0.6617,0.9547,0.0
Llama-3-70B-universalization,pollution,2,12,1,69.8,0.5817,0.898,0.0
Llama-3-70B-universalization,pollution,3,12,1,81.4,0.6783,0.945,0.0
Llama-3-70B-universalization,pollution,42,12,1,50.2,0.4183,0.9235,0.0
